epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,602.999,1.1808,0.87749,1.19769,0.82531,0.59191,0.65129,0.37815,1.62924,1.2045,1.53282,0.000792325,0.000792325,0.000792325
55,613.81,1.17639,0.87579,1.19966,0.81472,0.59427,0.66042,0.37597,1.64716,1.15609,1.5925,0.000775822,0.000775822,0.000775822
56,624.799,1.17134,0.87145,1.20703,0.80594,0.58766,0.6551,0.40175,1.54871,1.17995,1.51333,0.000759318,0.000759318,0.000759318
57,635.911,1.15034,0.86177,1.19612,0.82878,0.58685,0.67756,0.40387,1.57862,1.1569,1.52645,0.000742815,0.000742815,0.000742815
58,646.98,1.15968,0.86056,1.19489,0.83152,0.60361,0.67125,0.40378,1.64361,1.21317,1.55838,0.000726312,0.000726312,0.000726312
59,657.774,1.17438,0.87335,1.20664,0.81117,0.60853,0.67557,0.40463,1.59996,1.17606,1.50271,0.000709809,0.000709809,0.000709809
60,668.818,1.14922,0.83853,1.18927,0.7899,0.59837,0.67948,0.40432,1.62677,1.21119,1.51877,0.000693305,0.000693305,0.000693305
61,679.656,1.14626,0.84471,1.1894,0.73552,0.6037,0.64119,0.38577,1.61362,1.25795,1.5525,0.000676802,0.000676802,0.000676802
62,690.515,1.13497,0.81097,1.1793,0.77224,0.61139,0.66161,0.38961,1.68356,1.21428,1.61327,0.000660299,0.000660299,0.000660299
63,701.268,1.12087,0.81163,1.18246,0.75615,0.61375,0.66477,0.40597,1.60945,1.20296,1.53313,0.000643795,0.000643795,0.000643795
64,712.122,1.09884,0.78763,1.16753,0.78581,0.60104,0.6655,0.3869,1.62373,1.17747,1.56306,0.000627292,0.000627292,0.000627292
65,722.762,1.10372,0.792,1.16072,0.75367,0.63355,0.65845,0.39985,1.60079,1.22246,1.55013,0.000610789,0.000610789,0.000610789
66,733.532,1.10132,0.8195,1.17329,0.82595,0.59051,0.67425,0.40043,1.60726,1.19366,1.55323,0.000594286,0.000594286,0.000594286
67,744.352,1.0971,0.77868,1.16246,0.78249,0.64754,0.66518,0.39057,1.63215,1.18871,1.57169,0.000577782,0.000577782,0.000577782
68,755.252,1.09217,0.7979,1.15458,0.86462,0.62442,0.6893,0.40036,1.61715,1.17963,1.60585,0.000561279,0.000561279,0.000561279
69,766.032,1.08434,0.76575,1.15798,0.77232,0.61372,0.66084,0.39665,1.62585,1.20742,1.5991,0.000544776,0.000544776,0.000544776
70,776.789,1.06681,0.75119,1.14409,0.81182,0.60383,0.66155,0.38634,1.64489,1.16768,1.59319,0.000528272,0.000528272,0.000528272
71,787.494,1.07049,0.75961,1.15973,0.79407,0.62789,0.66756,0.39332,1.61099,1.17036,1.57011,0.000511769,0.000511769,0.000511769
72,798.418,1.04306,0.73815,1.14613,0.83808,0.59658,0.6604,0.39609,1.58759,1.17525,1.55544,0.000495266,0.000495266,0.000495266
73,809.316,1.0557,0.72707,1.15086,0.79473,0.59929,0.65992,0.39454,1.63375,1.18681,1.57145,0.000478762,0.000478762,0.000478762
74,820.206,1.04444,0.74867,1.14143,0.84074,0.58955,0.67512,0.39691,1.60046,1.13865,1.54415,0.000462259,0.000462259,0.000462259
75,831.379,1.03529,0.71522,1.11882,0.79649,0.62201,0.66676,0.39498,1.63734,1.14341,1.61648,0.000445756,0.000445756,0.000445756
76,842.261,1.02612,0.70716,1.12804,0.83186,0.61245,0.68097,0.40612,1.64873,1.15118,1.5823,0.000429253,0.000429253,0.000429253
77,853.415,1.00649,0.69025,1.12161,0.76951,0.6378,0.66283,0.38892,1.63359,1.19487,1.60854,0.000412749,0.000412749,0.000412749
78,864.37,1.02678,0.71495,1.12372,0.77871,0.64726,0.67538,0.40484,1.60373,1.13384,1.58313,0.000396246,0.000396246,0.000396246
79,875.53,1.01935,0.70283,1.12555,0.7955,0.6037,0.66604,0.3906,1.64487,1.1797,1.61849,0.000379743,0.000379743,0.000379743
80,886.443,1.00845,0.69302,1.11423,0.79421,0.6451,0.68297,0.40506,1.62937,1.16356,1.58423,0.000363239,0.000363239,0.000363239
81,898.107,1.02306,0.68919,1.11382,0.76681,0.62953,0.67255,0.39895,1.60018,1.17808,1.57452,0.000346736,0.000346736,0.000346736
82,910.769,0.97789,0.6682,1.09999,0.84946,0.60505,0.68295,0.40315,1.62033,1.17863,1.56195,0.000330233,0.000330233,0.000330233
83,922.763,1.0052,0.67253,1.11449,0.81454,0.63532,0.69259,0.41108,1.57203,1.11097,1.54929,0.000313729,0.000313729,0.000313729
84,935.037,0.98595,0.67524,1.10252,0.82308,0.61278,0.68271,0.40514,1.59993,1.16372,1.5821,0.000297226,0.000297226,0.000297226
85,946.742,0.99023,0.67437,1.11206,0.80725,0.61565,0.67586,0.39936,1.62992,1.18291,1.59703,0.000280723,0.000280723,0.000280723
86,959.357,0.96898,0.65101,1.09789,0.78346,0.62601,0.66497,0.40234,1.61112,1.18822,1.59018,0.00026422,0.00026422,0.00026422
87,971.942,0.96929,0.65918,1.09424,0.8081,0.62083,0.67016,0.38909,1.65466,1.2265,1.62566,0.000247716,0.000247716,0.000247716
88,983.17,0.94788,0.63386,1.08282,0.81477,0.63208,0.68377,0.39845,1.65138,1.16991,1.62733,0.000231213,0.000231213,0.000231213
89,994.751,0.94556,0.63291,1.08771,0.81729,0.61807,0.65928,0.3904,1.62799,1.21095,1.60765,0.00021471,0.00021471,0.00021471
90,1005.87,0.94355,0.63692,1.09004,0.82477,0.63483,0.67974,0.40287,1.63902,1.17309,1.61611,0.000198206,0.000198206,0.000198206
91,1033.33,0.8852,0.55692,1.02718,0.74136,0.63308,0.64691,0.37848,1.66611,1.22725,1.65428,0.000181703,0.000181703,0.000181703
92,1044.03,0.8521,0.52308,1.00875,0.73735,0.62821,0.65681,0.38906,1.64226,1.17358,1.62141,0.0001652,0.0001652,0.0001652
93,1054.83,0.83876,0.50365,1.01004,0.83737,0.58807,0.64948,0.39058,1.63516,1.1711,1.61741,0.000148696,0.000148696,0.000148696
94,1065.97,0.82297,0.50214,0.99685,0.87458,0.58434,0.66689,0.40157,1.61831,1.15084,1.60996,0.000132193,0.000132193,0.000132193
95,1076.77,0.82117,0.49589,1.00503,0.86114,0.59916,0.67515,0.39852,1.62927,1.22059,1.60487,0.00011569,0.00011569,0.00011569
96,1087.61,0.81905,0.48221,1.00086,0.8163,0.60955,0.66653,0.39908,1.62661,1.20838,1.59735,9.91865e-05,9.91865e-05,9.91865e-05
97,1098.77,0.80814,0.48848,0.99755,0.83831,0.61453,0.67131,0.3996,1.61556,1.211,1.59498,8.26832e-05,8.26832e-05,8.26832e-05
98,1109.73,0.81127,0.47924,0.98754,0.83238,0.60355,0.66807,0.40133,1.62363,1.21139,1.60601,6.61799e-05,6.61799e-05,6.61799e-05
