epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,873.825,1.17991,0.86068,1.25815,0.81397,0.57822,0.65937,0.36535,1.76331,1.26097,1.72648,0.00736,0.00736,0.00736
82,884.433,1.16622,0.83485,1.25042,0.82248,0.59899,0.6585,0.36917,1.71033,1.34679,1.7341,0.007327,0.007327,0.007327
83,895.101,1.19264,0.85352,1.27018,0.81849,0.58418,0.64986,0.3677,1.70259,1.25771,1.69486,0.007294,0.007294,0.007294
84,905.834,1.2001,0.85846,1.25801,0.81077,0.62111,0.66863,0.36524,1.76285,1.23661,1.73399,0.007261,0.007261,0.007261
85,916.58,1.18386,0.85008,1.26057,0.82447,0.56329,0.63095,0.35851,1.69941,1.35712,1.69905,0.007228,0.007228,0.007228
86,927.139,1.16911,0.8559,1.2545,0.80526,0.60762,0.65768,0.36892,1.71549,1.21606,1.70146,0.007195,0.007195,0.007195
87,937.965,1.18009,0.86069,1.25199,0.8568,0.55499,0.63037,0.35917,1.76068,1.29744,1.73361,0.007162,0.007162,0.007162
88,948.651,1.1691,0.82291,1.24686,0.75526,0.62902,0.65986,0.38068,1.7024,1.2264,1.66854,0.007129,0.007129,0.007129
89,959.341,1.14068,0.80075,1.22724,0.81281,0.60349,0.65474,0.35635,1.76205,1.25997,1.73302,0.007096,0.007096,0.007096
90,969.946,1.15637,0.82027,1.24948,0.78586,0.62296,0.65261,0.36326,1.70924,1.21992,1.72136,0.007063,0.007063,0.007063
91,980.482,1.14711,0.79383,1.22508,0.81722,0.56821,0.64186,0.35446,1.73496,1.32835,1.72012,0.00703,0.00703,0.00703
92,991.146,1.1672,0.7872,1.23147,0.75751,0.61172,0.66031,0.35946,1.74336,1.24243,1.74246,0.006997,0.006997,0.006997
93,1001.77,1.14172,0.79856,1.21593,0.82827,0.58704,0.64381,0.36567,1.76254,1.23814,1.7516,0.006964,0.006964,0.006964
94,1012.42,1.13644,0.80731,1.22509,0.79545,0.55192,0.62769,0.34969,1.79059,1.31613,1.76521,0.006931,0.006931,0.006931
95,1023.04,1.12225,0.79292,1.21845,0.78813,0.60652,0.65095,0.34993,1.81122,1.2908,1.7722,0.006898,0.006898,0.006898
96,1033.7,1.13405,0.77994,1.22288,0.8216,0.55843,0.62037,0.35226,1.74274,1.33051,1.76508,0.006865,0.006865,0.006865
97,1044.37,1.15078,0.79762,1.23288,0.80507,0.60554,0.64914,0.36044,1.73868,1.26799,1.7174,0.006832,0.006832,0.006832
98,1055.08,1.12869,0.77823,1.20937,0.79876,0.57412,0.62769,0.34808,1.77378,1.30546,1.80255,0.006799,0.006799,0.006799
99,1065.78,1.1257,0.77104,1.21278,0.82361,0.58812,0.65396,0.36592,1.75981,1.24588,1.75011,0.006766,0.006766,0.006766
100,1076.42,1.11222,0.77123,1.19997,0.83284,0.60227,0.65564,0.37112,1.67185,1.26359,1.70856,0.006733,0.006733,0.006733
101,1087.01,1.10701,0.76559,1.21784,0.77504,0.59914,0.65864,0.362,1.77125,1.2638,1.78966,0.0067,0.0067,0.0067
102,1097.78,1.11682,0.77215,1.20451,0.7862,0.58955,0.63182,0.36372,1.72506,1.30421,1.70452,0.006667,0.006667,0.006667
103,1108.48,1.12552,0.78317,1.22028,0.81404,0.5773,0.64957,0.36547,1.73169,1.21894,1.74286,0.006634,0.006634,0.006634
104,1119.14,1.11575,0.75549,1.21253,0.82928,0.5875,0.64327,0.35832,1.75376,1.2738,1.81173,0.006601,0.006601,0.006601
