epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,990.298,1.31457,1.06371,1.40685,0.77936,0.57161,0.64727,0.36719,1.66773,1.33513,1.67601,0.006238,0.006238,0.006238
59,1006.27,1.29827,1.07179,1.4055,0.75562,0.59044,0.66871,0.37983,1.6545,1.25219,1.68673,0.006172,0.006172,0.006172
60,1022.43,1.27903,1.04505,1.39782,0.76463,0.58414,0.64367,0.36097,1.68126,1.32401,1.71965,0.006106,0.006106,0.006106
61,1038.49,1.2827,1.06081,1.39373,0.81349,0.57586,0.64608,0.36482,1.67465,1.29237,1.71031,0.00604,0.00604,0.00604
62,1054.46,1.28704,1.05058,1.40215,0.83438,0.56299,0.63555,0.35058,1.73177,1.31924,1.75809,0.005974,0.005974,0.005974
63,1070.29,1.27763,1.03277,1.3851,0.78804,0.56268,0.63156,0.34424,1.73276,1.37726,1.74645,0.005908,0.005908,0.005908
64,1086.43,1.28482,1.0186,1.38386,0.73897,0.64686,0.67004,0.36251,1.73326,1.28227,1.77573,0.005842,0.005842,0.005842
65,1103.68,1.26615,0.98932,1.35783,0.79449,0.59206,0.67192,0.37557,1.69159,1.29723,1.6935,0.005776,0.005776,0.005776
66,1121.31,1.26375,0.99463,1.36396,0.81763,0.5754,0.64164,0.3592,1.7046,1.34024,1.66651,0.00571,0.00571,0.00571
67,1137.4,1.22601,0.95707,1.34024,0.74807,0.60652,0.63514,0.35617,1.71281,1.29477,1.71556,0.005644,0.005644,0.005644
68,1153.45,1.23141,0.98749,1.362,0.79995,0.57273,0.63378,0.35299,1.69315,1.35738,1.71539,0.005578,0.005578,0.005578
69,1169.62,1.25745,1.01048,1.38203,0.8168,0.58624,0.66881,0.38188,1.65554,1.27025,1.7147,0.005512,0.005512,0.005512
70,1185.98,1.27236,1.02103,1.37944,0.76872,0.64267,0.67222,0.37781,1.68704,1.26767,1.72769,0.005446,0.005446,0.005446
71,1201.88,1.24745,0.97724,1.36347,0.81859,0.57849,0.65389,0.36481,1.70117,1.26705,1.74055,0.00538,0.00538,0.00538
